Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
4.163717375,1,0,1,1,1,1,1,1
4.163718750,0,0,1,1,1,1,1,1
4.163719500,0,1,1,1,1,1,1,1
4.163720250,1,1,1,1,1,1,1,1
4.163721625,0,1,1,1,1,1,1,1
4.163722375,0,0,1,1,1,1,1,1
4.163723000,1,0,1,1,1,1,1,1
4.163724500,0,0,1,1,1,1,1,1
4.163725125,0,1,1,1,1,1,1,1
4.163725875,1,1,1,1,1,1,1,1
4.163727250,0,1,1,1,1,1,1,1
4.163728750,1,1,1,1,1,1,1,1
4.163730125,0,1,1,1,1,1,1,1
4.163731500,1,1,1,1,1,1,1,1
4.163733000,0,1,1,1,1,1,1,1
4.163733750,0,0,1,1,1,1,1,1
4.163734500,1,0,1,1,1,1,1,1
4.163735125,1,1,1,1,1,1,1,1
4.163737375,1,0,1,1,1,1,1,1
4.163738125,0,0,1,1,1,1,1,1
4.163739625,1,0,1,1,1,1,1,1
4.163741000,0,0,1,1,1,1,1,1
4.163742375,1,0,1,1,1,1,1,1
4.163743875,0,0,1,1,1,1,1,1
4.163745250,1,0,1,1,1,1,1,1
4.163746625,0,0,1,1,1,1,1,1
4.163747375,0,1,1,1,1,1,1,1
4.163748125,1,1,1,1,1,1,1,1
4.163749500,0,1,1,1,1,1,1,1
4.163750250,0,0,1,1,1,1,1,1
4.163750875,1,0,1,1,1,1,1,1
4.163752375,0,0,1,1,1,1,1,1
4.163753000,0,1,1,1,1,1,1,1
4.163753750,1,1,1,1,1,1,1,1
4.163755250,0,1,1,1,1,1,1,1
4.163755875,0,0,1,1,1,1,1,1
4.163756625,1,0,1,1,1,1,1,1
4.163758000,0,0,1,1,1,1,1,1
4.163759500,1,0,1,1,1,1,1,1
4.163760875,0,0,1,1,1,1,1,1
4.163761625,0,1,1,1,1,1,1,1
4.163762250,1,1,1,1,1,1,1,1
4.163763750,0,1,1,1,1,1,1,1
4.163764500,0,0,1,1,1,1,1,1
4.163765250,1,0,1,1,1,1,1,1
4.163766625,0,0,1,1,1,1,1,1
4.163768000,1,0,1,1,1,1,1,1
4.163769500,0,0,1,1,1,1,1,1
4.163770875,1,0,1,1,1,1,1,1
4.163772250,0,0,1,1,1,1,1,1
4.163773750,1,0,1,1,1,1,1,1
4.163775125,0,0,1,1,1,1,1,1
4.163776500,1,0,1,1,1,1,1,1
4.163778000,0,0,1,1,1,1,1,1
4.163779375,1,0,1,1,1,1,1,1
4.163780750,0,0,1,1,1,1,1,1
4.163782250,1,0,1,1,1,1,1,1
4.163783625,0,0,1,1,1,1,1,1
4.163785000,1,0,1,1,1,1,1,1
4.163786500,0,0,1,1,1,1,1,1
4.163787125,0,1,1,1,1,1,1,1
4.163787875,1,1,1,1,1,1,1,1
4.163789250,0,1,1,1,1,1,1,1
4.163790125,0,0,1,1,1,1,1,1
4.163790750,1,0,1,1,1,1,1,1
4.163792250,0,0,1,1,1,1,1,1
4.163793625,1,0,1,1,1,1,1,1
4.163795000,0,0,1,1,1,1,1,1
4.163795750,0,1,1,1,1,1,1,1
4.163796500,1,1,1,1,1,1,1,1
4.163797875,0,1,1,1,1,1,1,1
4.163799250,1,1,1,1,1,1,1,1
4.163800750,0,1,1,1,1,1,1,1
4.163801375,0,0,1,1,1,1,1,1
4.163802125,1,0,1,1,1,1,1,1
4.163803500,0,0,1,1,1,1,1,1
4.163805000,1,0,1,1,1,1,1,1
4.163806375,0,0,1,1,1,1,1,1
4.163807750,1,0,1,1,1,1,1,1
4.163809250,0,0,1,1,1,1,1,1
4.163810625,1,0,1,1,1,1,1,1
4.163812000,0,0,1,1,1,1,1,1
4.163812750,0,1,1,1,1,1,1,1
4.163813500,1,1,1,1,1,1,1,1
4.163814875,0,1,1,1,1,1,1,1
4.163815625,0,0,1,1,1,1,1,1
4.163816375,1,0,1,1,1,1,1,1
4.163817750,0,0,1,1,1,1,1,1
4.163818500,0,1,1,1,1,1,1,1
4.163819250,1,1,1,1,1,1,1,1
4.163820625,0,1,1,1,1,1,1,1
4.163822000,1,1,1,1,1,1,1,1
4.163823500,0,1,1,1,1,1,1,1
4.163824125,0,0,1,1,1,1,1,1
4.163824875,1,0,1,1,1,1,1,1
4.163826250,0,0,1,1,1,1,1,1
4.163827000,0,1,1,1,1,1,1,1
4.163827750,1,1,1,1,1,1,1,1
4.163829125,0,1,1,1,1,1,1,1
4.163830500,1,1,1,1,1,1,1,1
4.163832000,0,1,1,1,1,1,1,1
4.163833375,1,1,1,1,1,1,1,1
4.163834750,0,1,1,1,1,1,1,1
4.163836250,1,1,1,1,1,1,1,1
4.163837625,0,1,1,1,1,1,1,1
4.163839000,1,1,1,1,1,1,1,1
4.163840500,0,1,1,1,1,1,1,1
4.163842000,1,1,1,1,1,1,1,1
4.163843375,0,1,1,1,1,1,1,1
4.163844750,1,1,1,1,1,1,1,1
4.163846250,0,1,1,1,1,1,1,1
4.163847625,1,1,1,1,1,1,1,1
4.163849000,0,1,1,1,1,1,1,1
4.163850500,1,1,1,1,1,1,1,1
4.163851875,0,1,1,1,1,1,1,1
4.163853250,1,1,1,1,1,1,1,1
4.163854750,0,1,1,1,1,1,1,1
4.163856125,1,1,1,1,1,1,1,1
4.163857500,0,1,1,1,1,1,1,1
4.163859000,1,1,1,1,1,1,1,1
4.163860375,0,1,1,1,1,1,1,1
4.163861750,1,1,1,1,1,1,1,1
4.163863250,0,1,1,1,1,1,1,1
4.163864625,1,1,1,1,1,1,1,1
4.163866000,0,1,1,1,1,1,1,1
4.163866875,0,0,1,1,1,1,1,1
4.163867500,1,0,1,1,1,1,1,1
4.163868250,1,1,1,1,1,1,1,1
4.163870500,1,0,1,1,1,1,1,1
4.163871125,0,0,1,1,1,1,1,1
4.163872625,1,0,1,1,1,1,1,1
4.163874125,0,0,1,1,1,1,1,1
4.163875500,1,0,1,1,1,1,1,1
4.163877000,0,0,1,1,1,1,1,1
4.163878375,1,0,1,1,1,1,1,1
4.163879750,0,0,1,1,1,1,1,1
4.163880500,0,1,1,1,1,1,1,1
4.163881250,1,1,1,1,1,1,1,1
4.163882625,0,1,1,1,1,1,1,1
4.163883375,0,0,1,1,1,1,1,1
4.163884000,1,0,1,1,1,1,1,1
4.163885500,0,0,1,1,1,1,1,1
4.163886125,0,1,1,1,1,1,1,1
4.163886875,1,1,1,1,1,1,1,1
4.163888250,0,1,1,1,1,1,1,1
4.163889000,0,0,1,1,1,1,1,1
4.163889750,1,0,1,1,1,1,1,1
4.163891125,0,0,1,1,1,1,1,1
4.163892500,1,0,1,1,1,1,1,1
4.163894000,0,0,1,1,1,1,1,1
4.163894625,0,1,1,1,1,1,1,1
4.163895375,1,1,1,1,1,1,1,1
4.163896750,0,1,1,1,1,1,1,1
4.163897625,0,0,1,1,1,1,1,1
4.163898250,1,0,1,1,1,1,1,1
4.163899750,0,0,1,1,1,1,1,1
4.163901125,1,0,1,1,1,1,1,1
4.163902500,0,0,1,1,1,1,1,1
4.163904000,1,0,1,1,1,1,1,1
4.163905375,0,0,1,1,1,1,1,1
4.163906750,1,0,1,1,1,1,1,1
4.163908250,0,0,1,1,1,1,1,1
4.163909625,1,0,1,1,1,1,1,1
4.163911000,0,0,1,1,1,1,1,1
4.163912500,1,0,1,1,1,1,1,1
4.163913875,0,0,1,1,1,1,1,1
4.163915250,1,0,1,1,1,1,1,1
4.163916750,0,0,1,1,1,1,1,1
4.163918125,1,0,1,1,1,1,1,1
4.163919500,0,0,1,1,1,1,1,1
